,AdID,Type,Link,TimeScraped
1082,6384720,Stanovanje,/oglasi-prodaja/sp-siska-korotanska-stanovanje_6384720/,2021-03-08 18:38:03.983765
1083,6363994,Stanovanje,/oglasi-prodaja/sp-siska-lepodvorska-stanovanje_6363994/,2021-03-08 18:38:03.987756
1084,6390165,Stanovanje,/oglasi-prodaja/sp-siska-lj-pri-stari-cerkvi-stanovanje_6390165/,2021-03-08 18:38:03.991745
1085,6385462,Stanovanje,/oglasi-prodaja/sp-siska-spodnja-stanovanje_6385462/,2021-03-08 18:38:03.994735
1086,6249840,Stanovanje,/oglasi-prodaja/sp-siska-spodnja-lj-stanovanje_6249840/,2021-03-08 18:38:03.997727
1087,6387429,Stanovanje,/oglasi-prodaja/sp-siska-stara-cerkev-stanovanje_6387429/,2021-03-08 18:38:04.000719
1088,6389016,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6389016/,2021-03-08 18:38:04.003711
1089,6389012,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6389012/,2021-03-08 18:38:04.006704
1090,6378566,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6378566/,2021-03-08 18:38:04.009695
1091,6378567,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6378567/,2021-03-08 18:38:04.013684
1092,6378568,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6378568/,2021-03-08 18:38:04.016673
1093,6378565,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6378565/,2021-03-08 18:38:04.019665
1094,6390558,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6390558/,2021-03-08 18:38:04.022657
1095,6390562,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6390562/,2021-03-08 18:38:04.025650
1096,6390555,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6390555/,2021-03-08 18:38:04.028641
1097,6390557,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6390557/,2021-03-08 18:38:04.031633
1098,6390553,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6390553/,2021-03-08 18:38:04.034625
1099,6390560,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6390560/,2021-03-08 18:38:04.037617
1100,6388261,Stanovanje,/oglasi-prodaja/spodnje-gameljne-stanovanje_6388261/,2021-03-08 18:38:04.040610
1101,6391604,Stanovanje,/oglasi-prodaja/stara-lj-stanovanje_6391604/,2021-03-08 18:38:04.043601
1102,6342856,Stanovanje,/oglasi-prodaja/stara-lj-stanovanje_6342856/,2021-03-08 18:38:04.046593
1103,6379844,Stanovanje,/oglasi-prodaja/stara-lj-stanovanje_6379844/,2021-03-08 18:38:04.049585
1104,6066753,Stanovanje,/oglasi-prodaja/stara-lj-stanovanje_6066753/,2021-03-08 18:38:04.052577
1105,6391957,Stanovanje,/oglasi-prodaja/stara-lj-atrij-dvigalo-stanovanje_6391957/,2021-03-08 18:38:04.055570
1106,6105597,Stanovanje,/oglasi-prodaja/stara-lj-novo-stanovanje-v-novem-staromescanski-stavbi-na--stanovanje_6105597/,2021-03-08 18:38:04.058561
1107,6354011,Stanovanje,/oglasi-prodaja/stara-lj-ob-vspenjaci-in-glavni-trznici-stanovanje_6354011/,2021-03-08 18:38:04.061556
1108,6391958,Stanovanje,/oglasi-prodaja/stara-lj-terasa-dvigalo-stanovanje_6391958/,2021-03-08 18:38:04.064547
1109,6357786,Stanovanje,/oglasi-prodaja/stara-lj-v-blizini-krizank-stanovanje_6357786/,2021-03-08 18:38:04.067538
1110,6066537,Stanovanje,/oglasi-prodaja/stozice-stanovanje_6066537/,2021-03-08 18:38:05.107754
1111,6341982,Stanovanje,/oglasi-prodaja/sentvid-stanovanje_6341982/,2021-03-08 18:38:05.111744
1112,6378031,Stanovanje,/oglasi-prodaja/sentvid-stanovanje_6378031/,2021-03-08 18:38:05.113739
1113,6389992,Stanovanje,/oglasi-prodaja/sentvid-stanovanje_6389992/,2021-03-08 18:38:05.117728
1114,6339078,Stanovanje,/oglasi-prodaja/sentvid-stanovanje_6339078/,2021-03-08 18:38:05.120720
1115,6375874,Stanovanje,/oglasi-prodaja/sentvid-persinova-cesta-stanovanje_6375874/,2021-03-08 18:38:05.123713
1116,6392948,Stanovanje,/oglasi-prodaja/sentvid-prusnikova-ulica-stanovanje_6392948/,2021-03-08 18:38:05.126704
1117,6382775,Stanovanje,/oglasi-prodaja/sentvid-prusnikova-ulica-stanovanje_6382775/,2021-03-08 18:38:05.129696
1118,6371082,Stanovanje,/oglasi-prodaja/sentvid-taborska-cesta-stanovanje_6371082/,2021-03-08 18:38:05.132688
1119,6364510,Stanovanje,/oglasi-prodaja/sentvid-tacenska-cesta-stanovanje_6364510/,2021-03-08 18:38:05.135680
1120,6389360,Stanovanje,/oglasi-prodaja/smartno-pod-smarno-goro-stanovanje_6389360/,2021-03-08 18:38:05.138673
1121,6253521,Stanovanje,/oglasi-prodaja/stepanja-vas-stepanjsko-naselje-stanovanje_6253521/,2021-03-08 18:38:05.141664
1122,6379022,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-stanovanje_6379022/,2021-03-08 18:38:05.144656
1123,6388577,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-stanovanje_6388577/,2021-03-08 18:38:05.147648
1124,6390238,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-stanovanje_6390238/,2021-03-08 18:38:05.151637
1125,6382942,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-stanovanje_6382942/,2021-03-08 18:38:05.153632
1126,6387297,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-stanovanje_6387297/,2021-03-08 18:38:05.157621
1127,6382590,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-stanovanje_6382590/,2021-03-08 18:38:05.160613
1128,6274401,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-stanovanje_6274401/,2021-03-08 18:38:05.163606
1129,6387066,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-stanovanje_6387066/,2021-03-08 18:38:05.166649
1130,6326274,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-stanovanje_6326274/,2021-03-08 18:38:05.169639
1131,6359454,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-jakceva-stanovanje_6359454/,2021-03-08 18:38:05.172582
1132,6381815,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-jakceva-ulica-stanovanje_6381815/,2021-03-08 18:38:05.175622
1133,6285028,Stanovanje,/oglasi-prodaja/stepanjsko-naselje-mirna-lokacija-pod-golovcem-stanovanje_6285028/,2021-03-08 18:38:05.178591
1134,6366906,Stanovanje,/oglasi-prodaja/tabor-stanovanje_6366906/,2021-03-08 18:38:05.182588
1135,6334536,Stanovanje,/oglasi-prodaja/tabor-z-novo-opremo-stanovanje_6334536/,2021-03-08 18:38:05.185547
1136,6363248,Stanovanje,/oglasi-prodaja/tacen-stanovanje_6363248/,2021-03-08 18:38:05.189536
1137,6363251,Stanovanje,/oglasi-prodaja/tacen-stanovanje_6363251/,2021-03-08 18:38:05.192577
