,Ad_ID,Ad_Link,datetime
171,6953285,/nepremicnine/stirisobno-stanovanje-lucija-117-m2-prodaja-oglas-6953285,02.05.2021_11:29:11
172,6953060,/nepremicnine/prodaja-stanovanje-stirisobno-podravska-maribor-koroska-vrata-oglas-6953060,02.05.2021_11:29:11
173,1452305,/nepremicnine/stanovanje-notranjsko-kraska-postojna-2-sob-60m2-atrijs-oglas-1452305,02.05.2021_11:29:11
174,1446122,/nepremicnine/stanovanje-savinjska-skofja-vas-2-sobno-65.00-m2-prodam-oglas-1446122,02.05.2021_11:29:11
175,6952241,/nepremicnine/lokacija-stanovanja-koroska-vrata-35.00-m2-oglas-6952241,02.05.2021_11:29:12
176,6951272,/nepremicnine/stanovanje-maribor-limbus-61.80-m2-atrij-25-m2-oglas-6951272,02.05.2021_11:29:12
177,6354723,/nepremicnine/lokacija-stanovanja-dobrinj-68.00-m2-oglas-6354723,02.05.2021_11:29:12
178,5461680,/nepremicnine/dvosobno-stanovanje-dobrova-polhov-gradec-44.00-m2-oglas-5461680,02.05.2021_11:29:12
179,6949570,/nepremicnine/prodaja-ekskluzivna-prodaja-stanovanje-pogledom-morje-oglas-6949570,02.05.2021_11:29:12
180,6949551,/nepremicnine/lokacija-stanovanja-moste-84.00-m2-oglas-6949551,02.05.2021_11:29:12
181,6949547,/nepremicnine/prodaja-stanovanje-crveni-vrh-pogledom-morje-oglas-6949547,02.05.2021_11:29:12
182,6949453,/nepremicnine/prodaja-atraktivno-majhno-stanovanje-z-teraso-oglas-6949453,02.05.2021_11:29:12
183,2354874,/nepremicnine/klet-osrednjeslovenska-domzale-ostalo-7-m2-prodam-oglas-2354874,02.05.2021_11:29:12
184,1457173,/nepremicnine/stanovanje-osrednjeslovenska-ljubljana-center-4-sobno-186-m2-oglas-1457173,02.05.2021_11:29:12
185,1456610,/nepremicnine/stanovanje-osrednjeslovenska-ljubljana-center-4-sobno-138-m2-oglas-1456610,02.05.2021_11:29:12
186,6949123,/nepremicnine/lokacija-stanovanja-rogaska-slatina-68.00-m2-oglas-6949123,02.05.2021_11:29:12
187,6947742,/nepremicnine/crikvenica-stan-45m2-prvi-kat-oglas-6947742,02.05.2021_11:29:12
188,6947695,/nepremicnine/novigrad-stan-vrtom-ljetnom-kuhinjom-novogradnja-blizina-plaza-oglas-6947695,02.05.2021_11:29:12
189,6947694,/nepremicnine/celje-stanovanje-4-sobno-prodaja-oglas-6947694,02.05.2021_11:29:12
190,6947689,/nepremicnine/stan-predivnim-panoramskim-pogledom-more-imamo-kljuc-oglas-6947689,02.05.2021_11:29:12
191,6946593,/nepremicnine/prodaja-stanovanje-1-sobno-miklosiceva-ulica-domzale-33.8-m2-oglas-6946593,02.05.2021_11:29:12
192,6945808,/nepremicnine/lokacija-stanovanja-center-32.00-m2-oglas-6945808,02.05.2021_11:29:12
193,1451794,/nepremicnine/stanovanje-podravska-maribor-center-koroska-vrata-2.5-sobno-6-oglas-1451794,02.05.2021_11:29:12
194,3783835,/nepremicnine/lokacija-stanovanja-zalec-105.00-m2-oglas-3783835,02.05.2021_11:29:12
195,6944270,/nepremicnine/tomsicev-drevored-mb-center-88.00-m2-oglas-6944270,02.05.2021_11:29:12
196,6944174,/nepremicnine/lokacija-stanovanja-race-53.00-m2-oglas-6944174,02.05.2021_11:29:12
197,1448407,/nepremicnine/stanovanje-tujina-hrvaska-umag-lovrecica-3-sobno-72-m2-prodam-oglas-1448407,02.05.2021_11:29:12
198,6942245,/nepremicnine/hoce-slivnica-radizel-stanovanje-1-sobno-prodaja-oglas-6942245,02.05.2021_11:29:12
199,6942206,/nepremicnine/lovran-stan-100-m-mora-66.44-m-oglas-6942206,02.05.2021_11:29:12
200,6942141,/nepremicnine/prekrasan-stan-strogom-centru-rovinja-oglas-6942141,02.05.2021_11:29:13
201,6942114,/nepremicnine/trosobno-stanovanje-koper-88.4-m2-prodaja-oglas-6942114,02.05.2021_11:29:13
202,6942043,/nepremicnine/stanovanje-ljubljana-savlje-68.8-m2-2-parkirisca-oglas-6942043,02.05.2021_11:29:13
203,6942025,/nepremicnine/lokacija-stanovanja-magdalena-66.00-m2-oglas-6942025,02.05.2021_11:29:13
204,6941953,/nepremicnine/celje-center-84.00-m2-oglas-6941953,02.05.2021_11:29:13
205,6142371,/nepremicnine/lokacija-stanovanja-ptuj-68.00-m2-oglas-6142371,02.05.2021_11:29:13
