,AdID,Title,Type,YearBuilt,Link,Seller,Size,SalePrice,lastUpdate
4410,6373220,TRNOVO,Stanovanje,2020,/oglasi-prodaja/trnovo-stanovanje_6373220/,"Aeon nepremičnine, d.o.o.",99.5,450675.0,2021-03-08 16:18:58.845046
4411,6261112,TRNOVO,Stanovanje,1936,/oglasi-prodaja/trnovo-stanovanje_6261112/,MEZANIN PRO nepremičnine d.o.o.,123.9,355000.0,2021-03-08 16:18:58.850068
4412,6369273,TRNOVO,Stanovanje,2016,/oglasi-prodaja/trnovo-stanovanje_6369273/,Roni nepremičnine d.o.o.,150.0,3200.0,2021-03-08 16:18:58.855051
4413,6285292,TRNOVO,Stanovanje,2017,/oglasi-prodaja/trnovo-stanovanje_6285292/,Rocco nepremičnine d.o.o.,200.0,829000.0,2021-03-08 16:18:58.859041
4414,6373205,TRNOVO,Stanovanje,2020,/oglasi-prodaja/trnovo-stanovanje_6373205/,"Aeon nepremičnine, d.o.o.",367.0,742321.0,2021-03-08 16:18:58.863993
4415,6384872,"TRNOVO, CENTER",Stanovanje,1982,/oglasi-prodaja/trnovo-center-stanovanje_6384872/,Zasebna ponudba,99.0,295000.0,2021-03-08 16:18:58.868980
4416,6388667,"TRNOVO, KOLEZIJA",Stanovanje,1975,/oglasi-prodaja/trnovo-kolezija-stanovanje_6388667/,Zasebna ponudba,61.0,220000.0,2021-03-08 16:18:58.872969
4417,6391418,"TRNOVO, LJ. BLIZU CENTRA",Stanovanje,2016,/oglasi-prodaja/trnovo-lj-blizu-centra-stanovanje_6391418/,Roni nepremičnine d.o.o.,100.0,520000.0,2021-03-08 16:18:58.881948
4418,6391419,"TRNOVO, LJ. BLIZU CENTRA",Stanovanje,2016,/oglasi-prodaja/trnovo-lj-blizu-centra-stanovanje_6391419/,Roni nepremičnine d.o.o.,200.0,750000.0,2021-03-08 16:18:58.891922
4419,6360946,"TRNOVO, NEPOSREDNA BLIŽINA CENTRA",Stanovanje,1983,/oglasi-prodaja/trnovo-neposredna-blizina-centra-stanovanje_6360946/,Zasebna ponudba,39.7,165000.0,2021-03-08 16:18:58.906879
4420,6392720,"TRNOVO, PRENOVLJENO, Z BALKONOM",Stanovanje,1967,/oglasi-prodaja/trnovo-prenovljeno-z-balkonom-stanovanje_6392720/,"Agencija za posredovanje v prometu z nepremičninami, Aline Belinger s.p.",57.3,231000.0,2021-03-08 16:18:58.913861
