,Šifra oglasa,Objavljen ,Do poteka še,Število prikazov oglasa,Cena,Vrsta cene,Posredovanje,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Vrsta stanovanja,Bivalna površina,Neto površina,Leto izgradnje*,Leto zadnje prenove,Opremljenost in stanje,Energetski razred,Možnost menjave,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Interna številka oglasa
617,6308359,15.02.2021dne16:39,"
2dni,20h,12min.
",9817-krat,"

250.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Kodeljevo",V večstanovanjski stavbi,3.,4,3-sobno,"77,90 m²","82,10 m²",1969,2019,Delno opremljeno,,,,"Balkon, Zaprt balkon",,
618,6308319,15.02.2021dne16:27,"
2dni,20h,0min.
",1435-krat,"

56.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Betnava",,Pritličje,,1-sobno,"34,00 m²","37,00 m²",1965,2014,,EI v izdelavi,Možna menjava za drugo nepremičnino,,Balkon,,
619,6308234,15.02.2021dne16:03,"
2dni,19h,36min.
",2498-krat,"

127.000 €
",Skupna cena,Prodam,"Koroška, Slovenj Gradec, Slovenj Gradec",V večstanovanjski stavbi,2.,2,4-sobno,"107,00 m²","107,00 m²",2004,2006,Popolnoma opremljeno,B1 (15 - 25 kWh/m2a),,1,,,
620,6307815,15.02.2021dne14:27,"
doprodaje",501-krat,"

137.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",,1.,,Garsonjera,"47,40 m²",,2001,,,C (35 - 60 kWh/m2a),,,,,
621,6307655,15.02.2021dne13:48,"
doprodaje",257-krat,"

193.500 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",,Mansarda,3,4-sobno,"129,50 m²",,2020,,,EI v izdelavi,,,,,PE9410
622,6307365,15.02.2021dne12:32,"
2dni,16h,5min.
",75-krat,"

0 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",,,,,,,,,,,,1,,,
623,3630335,15.02.2021dne12:13,"
doprodaje",7819-krat,"

99.500 €
",Skupna cena,Prodam,"Podravska, Maribor, Tabor",V hiši,Pritličje,1,2-sobno,"60,70 m²","54,30 m²",1929,2019,Popolnoma opremljeno,,Menjava za drugo nepremičnino ni možna,2,Terasa,,0151/20-S/P_4/6_20
624,2587205,15.02.2021dne12:05,"
doprodaje",981-krat,"

75.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Tabor",V večstanovanjski stavbi,,,2-sobno,"65,00 m²",,1990,2015,,,,,Balkon,,0003/17-S/K_1/6_20
625,6306360,15.02.2021dne08:33,"
2dni,12h,6min.
",442-krat,"

110.000 €
",Skupna cena,Prodam,"Gorenjska, Tržič, Pristava",V hiši,Pritličje,1,2-sobno,"80,00 m²","70,00 m²",1951,2015,,,Možna menjava za drugo nepremičnino,,,Vrt/dvorišče,
626,6301926,15.02.2021dne00:11,"
doprodaje",9561-krat,"

175.000 €
",Skupna cena,Prodam,"Podravska, Maribor okolica, Kamnica",V večstanovanjski stavbi,,,4-sobno,"100,00 m²","100,00 m²",2013,,,,,,,,KODA: P1054AKM
